,0
0,631.0
1,656.0
2,650.0
3,644.0
4,634.0
5,643.0
6,651.0
7,660.0
8,661.0
9,672.0
10,683.0
11,662.0
12,654.0
13,651.0
14,641.0
15,653.0
16,641.0
17,636.0
18,635.0
19,628.0
20,633.0
21,649.0
22,650.0
23,637.0
24,633.0
25,646.0
26,645.0
27,637.0
28,632.0
29,627.0
30,625.0
31,604.0
32,604.0
33,604.0
34,601.0
35,602.0
36,595.0
37,576.0
38,563.0
39,568.0
40,587.0
41,575.0
42,572.0
43,558.0
44,558.0
45,582.0
46,581.0
47,586.0
48,583.0
49,590.0
50,591.0
51,598.0
52,584.0
53,589.0
54,600.0
55,597.0
56,589.0
57,578.0
58,566.0
59,567.0
60,558.0
61,557.0
62,573.0
63,573.0
64,562.0
65,561.0
66,565.0
67,570.0
68,565.0
69,558.0
70,547.0
71,546.0
72,526.0
73,531.0
74,538.0
75,531.0
76,534.0
77,542.0
78,528.0
79,520.0
80,518.0
81,521.0
82,505.0
83,511.0
84,520.0
85,530.0
86,538.0
87,522.0
88,530.0
89,528.0
90,520.0
91,524.0
92,514.0
93,530.0
94,547.0
95,560.0
96,549.0
97,540.0
98,540.0
99,535.0
100,544.0
101,541.0
102,530.0
103,516.0
104,513.0
105,509.0
106,508.0
107,501.0
108,498.0
109,505.0
110,494.5
111,485.5
112,486.5
113,498.5
114,497.5
115,491.0
116,476.0
117,453.5
118,440.0
119,446.0
120,435.5
121,457.5
122,467.0
123,462.0
124,449.5
125,470.5
126,475.0
127,492.5
128,495.5
129,491.0
130,495.0
131,501.0
132,503.0
133,499.5
134,495.0
135,502.0
136,501.0
137,509.0
138,504.0
139,492.0
140,501.0
141,500.0
142,516.0
143,512.0
144,510.0
145,500.0
146,514.0
147,517.0
148,523.0
149,525.0
150,527.0
151,520.0
152,519.0
153,510.0
154,504.0
155,503.0
156,508.0
157,512.0
158,498.5
159,496.0
160,505.0
161,490.5
162,485.0
163,486.0
164,489.0
165,472.5
166,475.0
167,486.5
168,493.0
169,480.0
170,476.5
171,472.0
172,467.0
173,476.5
174,471.0
175,464.5
176,455.0
177,446.5
178,448.0
179,438.0
180,435.0
181,422.0
182,417.0
183,429.0
184,445.0
185,451.0
186,438.0
187,401.5
188,397.5
189,395.0
190,412.0
191,397.0
192,407.0
193,395.5
194,397.5
195,389.5
196,387.0
197,371.0
198,376.0
199,385.5
200,379.5
201,390.0
202,391.5
203,395.0
204,384.0
205,382.0
206,390.0
207,399.0
208,417.0
209,407.5
210,441.5
211,445.0
212,480.0
213,487.0
214,485.0
215,487.0
216,482.0
217,491.0
218,492.0
219,496.0
220,498.0
221,480.5
222,487.0
223,490.0
224,498.5
225,492.5
226,489.0
227,478.0
228,475.0
229,471.5
230,481.5
231,475.0
232,471.5
233,480.5
234,480.5
235,471.0
236,466.5
237,457.5
238,459.0
239,468.0
240,455.0
241,456.5
242,457.0
243,451.0
244,446.0
245,448.5
