dsname,mae,mse,method,pred_len
traffic,0.4646492600440979,0.49551039934158325,Autoformer,96
traffic,0.463604599237442,0.5744917988777161,Informer,96
traffic,0.3901998698711395,0.44446077942848206,Reformer,96
traffic,0.37996146082878113,0.41570189595222473,Transformer,96
traffic,0.31030380725860596,0.2499459981918335,FEDformer,96
traffic,0.34332682668768255,0.3407379642676812,LLaMA-2 70B,96
weather,0.2300381362438202,0.10367466509342194,Autoformer,96
weather,0.3478732705116272,0.181233748793602,Informer,96
weather,0.3577856719493866,0.20181776583194733,Reformer,96
weather,0.2775915265083313,0.12946517765522003,Transformer,96
weather,0.20540300011634827,0.0718717873096466,FEDformer,96
weather,0.21396759569621304,0.1078004921170548,LLaMA-2 70B,96
electricity,0.40102189779281616,0.30534064769744873,Autoformer,96
electricity,0.2951335310935974,0.12719865143299103,Informer,96
electricity,0.3049173057079315,0.15821808576583862,Reformer,96
electricity,0.254925012588501,0.08486032485961914,Transformer,96
electricity,0.4308355152606964,0.3318503797054291,FEDformer,96
electricity,0.49823644496963515,0.6085108013762005,LLaMA-2 70B,96
ETTm2,0.2293047159910202,0.09319140017032623,Autoformer,96
ETTm2,0.20206373929977417,0.07220089435577393,Informer,96
ETTm2,0.21785323321819305,0.07478421926498413,Reformer,96
ETTm2,0.206253781914711,0.06808005273342133,Transformer,96
ETTm2,0.24784360826015472,0.10365279763936996,FEDformer,96
ETTm2,0.3081406453991246,0.16740765194376955,LLaMA-2 70B,96
exchange_rate,0.26998084783554077,0.12117955833673477,Autoformer,96
exchange_rate,0.6706600189208984,0.7613947987556458,Informer,96
exchange_rate,0.603309690952301,0.7723617553710938,Reformer,96
exchange_rate,0.600619912147522,0.6494507193565369,Transformer,96
exchange_rate,0.27092307806015015,0.12472181767225266,FEDformer,96
exchange_rate,0.20023901121178822,0.06402469157314193,LLaMA-2 70B,96
traffic,0.3943369686603546,0.36644530296325684,Autoformer,192
traffic,0.4154621660709381,0.46476200222969055,Informer,192
traffic,0.3817901611328125,0.431834876537323,Reformer,192
traffic,0.4291495084762573,0.5234089493751526,Transformer,192
traffic,0.40788137912750244,0.3854163587093353,FEDformer,192
traffic,0.49274913203056053,0.5258191400032994,LLaMA-2 70B,192
weather,0.24042053520679474,0.1042785495519638,Autoformer,192
weather,0.29923728108406067,0.1528557986021042,Informer,192
weather,0.5530843138694763,0.4806847870349884,Reformer,192
weather,0.239350363612175,0.10474560409784317,Transformer,192
weather,0.2046370804309845,0.07559754699468613,FEDformer,192
weather,0.15589259574277453,0.062136175506356355,LLaMA-2 70B,192
electricity,0.490188330411911,0.5673145055770874,Autoformer,192
electricity,0.33468517661094666,0.17835800349712372,Informer,192
electricity,0.35316702723503113,0.22434650361537933,Reformer,192
electricity,0.4069119989871979,0.24556447565555573,Transformer,192
electricity,0.4591493308544159,0.49355548620224,FEDformer,192
electricity,0.680251167984481,0.9601520823456885,LLaMA-2 70B,192
ETTm2,0.4392838180065155,0.31691989302635193,Autoformer,192
ETTm2,0.4191025197505951,0.28952836990356445,Informer,192
ETTm2,0.2495347261428833,0.10239364951848984,Reformer,192
ETTm2,0.286377876996994,0.14274586737155914,Transformer,192
ETTm2,0.3642009198665619,0.22408507764339447,FEDformer,192
ETTm2,0.3314668727257004,0.19774352614831386,LLaMA-2 70B,192
exchange_rate,0.30292657017707825,0.20642079412937164,Autoformer,192
exchange_rate,0.5812275409698486,0.6169599294662476,Informer,192
exchange_rate,0.6404657363891602,0.7560992240905762,Reformer,192
exchange_rate,0.6900527477264404,0.7818220257759094,Transformer,192
exchange_rate,0.3197985887527466,0.23246784508228302,FEDformer,192
exchange_rate,0.2646375441741704,0.18212169492942432,LLaMA-2 70B,192
