,Dataset,NLL/D,Type,CRPS,MAE
0,AirPassengers,5.904887193870207,SM-GP,0.06389997,0.07874991367413879
1,AusBeer,4.294716120265917,SM-GP,0.19886026,0.237520486834246
2,GasRateCO2,0.8287256100003635,SM-GP,0.030060824,0.04143486087848673
3,MonthlyMilk,4.38340686671068,SM-GP,0.027661227,0.03535254383316014
4,Sunspots,5.927819919720634,SM-GP,0.553448,0.6784781169865742
5,Wine,9.553831815371208,SM-GP,0.15771477,0.173865992580358
6,Wooly,7.450926365969288,SM-GP,0.10660738,0.13270028428424385
7,HeartRate,3.398186712531669,SM-GP,0.045753915,0.06050637538820258
0,AirPassengers,5.25119624633879,ARIMA,0.053818442,0.05458349589263653
1,AusBeer,4.1378792453967135,ARIMA,0.038713034,0.03987839240438996
2,GasRateCO2,0.8005758202984021,ARIMA,0.041965578,0.043165499476348394
3,MonthlyMilk,3.6007108133582593,ARIMA,0.0660764,0.04335271332189447
4,Sunspots,4.7381729592766915,ARIMA,0.50434333,0.5499523512100138
5,Wine,9.329074691528936,ARIMA,0.06882674,0.08810449436662422
6,Wooly,7.578407697744756,ARIMA,0.08548151,0.12020578492720105
7,HeartRate,2.505074954621629,ARIMA,0.0467538,0.05955099173286707
0,AirPassengers,6.320345026075865,TCN,0.1062756,0.12482070721903687
1,AusBeer,4.255859032764307,TCN,0.04761119,0.07191192016573981
2,GasRateCO2,0.8217320673141644,TCN,0.03617242,0.04814813803085019
3,MonthlyMilk,4.943494861501597,TCN,0.05805787,0.08259146298814445
4,Sunspots,4.687903326244688,TCN,0.5986168,0.6541425052400489
5,Wine,9.63180662444012,TCN,0.10132513,0.12555216506834588
6,Wooly,7.6776357890198765,TCN,0.13330942,0.23658122976104556
7,HeartRate,2.479401743742845,TCN,0.042716283,0.05882641262520571
0,AirPassengers,5.5379249074257775,N-BEATS,0.18870775,0.2223104475772505
1,AusBeer,4.144485004062405,N-BEATS,0.020708479,0.024190886709934686
2,GasRateCO2,0.8327455146933509,N-BEATS,0.03188819,0.047906472097566356
3,MonthlyMilk,4.567872859361482,N-BEATS,0.032324865,0.039211423690720816
4,Sunspots,5.855723643052453,N-BEATS,0.73519474,0.9234811730412747
5,Wine,9.662293303331117,N-BEATS,0.13567899,0.1742462263647797
