dataset,crps,tmae,model_name,dsname,temp,top_p,nll
AirPassengers,0.03742567077279091,0.07806441773044089,"LLMTime
(GPT-3)",,,,
AusBeer,0.03313989192247391,0.03753515561569691,"LLMTime
(GPT-3)",,,,
GasRateCO2,0.04498136788606644,0.0637214728399562,"LLMTime
(GPT-3)",,,,
MonthlyMilk,0.012173564173281193,0.01127955776482689,"LLMTime
(GPT-3)",,,,
Sunspots,0.5159133672714233,0.5976180320530039,"LLMTime
(GPT-3)",,,,
Wine,0.04353105649352074,0.05994030335309566,"LLMTime
(GPT-3)",,,,
Wooly,0.13103918731212616,0.16511170398285038,"LLMTime
(GPT-3)",,,,
HeartRate,0.049865856766700745,0.066514264720328,"LLMTime
(GPT-3)",,,,
AirPassengers,0.0939779058098793,0.12820111206829038,"PromptCast
(GPT-3)",,,,
AusBeer,0.11094484478235245,0.14481732070365358,"PromptCast
(GPT-3)",,,,
GasRateCO2,0.026667272672057152,0.038157734840199284,"PromptCast
(GPT-3)",,,,
MonthlyMilk,0.06439745426177979,0.09453205347960233,"PromptCast
(GPT-3)",,,,
Sunspots,0.5773282647132874,0.779281941086937,"PromptCast
(GPT-3)",,,,
Wine,0.21529732644557953,0.2593323091417586,"PromptCast
(GPT-3)",,,,
Wooly,0.25734943151474,0.3980468550623544,"PromptCast
(GPT-3)",,,,
HeartRate,0.04287493973970413,0.05901726749601066,"PromptCast
(GPT-3)",,,,
,0.11457011848688126,0.152081413766323,"LLMTime
(LLaMA)",WineDataset,1.0,0.9,9.46349762866489
,0.033737219870090485,0.045709779438570894,"LLMTime
(LLaMA)",GasRateCO2Dataset,1.0,0.9,-0.6731554820511878
,0.03137935325503349,0.04357534497611396,"LLMTime
(LLaMA)",AirPassengersDataset,1.0,0.9,4.6011738421010895
,0.04539467766880989,0.06550687178960803,"LLMTime
(LLaMA)",HeartRateDataset,1.0,0.9,2.092934010322807
,0.4463008940219879,0.6005975346494763,"LLMTime
(LLaMA)",SunspotsDataset,1.0,0.9,4.497964998898809
,0.02179889939725399,0.030988715289681217,"LLMTime
(LLaMA)",MonthlyMilkDataset,1.0,0.9,3.6128367093009075
,0.025174066424369812,0.029952893098782126,"LLMTime
(LLaMA)",AusBeerDataset,1.0,0.9,4.089225443578302
,0.11695787310600281,0.17344562073600214,"LLMTime
(LLaMA)",WoolyDataset,1.0,0.9,7.836559868417765
,0.13096608221530914,0.17311560774594392,"PromptCast
(LLaMA)",WineDataset,1.0,0.9,
,0.03083128109574318,0.03864382063434195,"PromptCast
(LLaMA)",GasRateCO2Dataset,1.0,0.9,
,0.26242730021476746,0.4117393687837732,"PromptCast
(LLaMA)",AirPassengersDataset,1.0,0.9,
,0.046140532940626144,0.06054615401973879,"PromptCast
(LLaMA)",HeartRateDataset,1.0,0.9,
,0.42958733439445496,0.6275942340406483,"PromptCast
(LLaMA)",SunspotsDataset,1.0,0.9,
,0.0640692189335823,0.07601988344189235,"PromptCast
(LLaMA)",MonthlyMilkDataset,1.0,0.9,
,0.10952243208885193,0.08397834912043302,"PromptCast
(LLaMA)",AusBeerDataset,1.0,0.9,
,0.2980722486972809,0.40347840141551966,"PromptCast
(LLaMA)",WoolyDataset,1.0,0.9,
