dataset,method,KS statistic,p-value,Wasserstein Distance
Exponent.,Fixed Bins,0.09651020408163265,8.29592493737879e-08,0.11574768537037405
Exponent.,GMM,0.042183673469387756,0.07686409089722405,0.05011333081805634
Exponent.,Laplace,0.194,2.2659262302304833e-30,0.32803540711151313
Exponent.,Decimal AR,0.03769387755102041,0.1478059422971425,0.04656196602800011
"Square +
Student-t",Fixed Bins,0.0633061224489796,0.0013231411711978314,0.08219400311595042
"Square +
Student-t",GMM,0.06640816326530612,0.0006354350554106104,0.11394090396490912
"Square +
Student-t",Laplace,0.1349795918367347,7.087277372786677e-15,0.23698378164947964
"Square +
Student-t",Decimal AR,0.0760204081632653,5.238094742156063e-05,0.08094637009520834
"ARIMA
Residuals",Fixed Bins,0.153625,3.734664919869068e-16,0.373928937609217
"ARIMA
Residuals",GMM,0.119875,5.39769916448102e-10,0.2558965287503822
"ARIMA
Residuals",Laplace,0.1010625,3.1636594124353326e-07,0.17391777008824105
"ARIMA
Residuals",Decimal AR,0.12875,1.825402601608469e-11,0.2486401488787927
Exponent.,Fixed Bins,0.07346938775510205,0.000104982419386227,0.10239497751443558
Exponent.,GMM,0.07216326530612245,0.0001484961162252145,0.10126702792554573
Exponent.,Laplace,0.184,2.406176423111625e-27,0.32402308057114987
Exponent.,Decimal AR,0.03818367346938775,0.13812618279051106,0.06273880831324204
"Square +
Student-t",Fixed Bins,0.05663265306122449,0.005691502726831299,0.07597752222170086
"Square +
Student-t",GMM,0.06736734693877551,0.0005029108248123804,0.08267298311312456
"Square +
Student-t",Laplace,0.1103061224489796,4.5348684348068083e-10,0.17735926107415556
"Square +
Student-t",Decimal AR,0.07051020408163265,0.00022826387160883638,0.11824552495026398
"ARIMA
Residuals",Fixed Bins,0.132625,3.853742919321592e-12,0.3392527160690716
"ARIMA
Residuals",GMM,0.1053125,8.247983821018056e-08,0.2299480889552196
"ARIMA
Residuals",Laplace,0.10225,2.185201892863196e-07,0.16111912603456427
"ARIMA
Residuals",Decimal AR,0.1463125,1.0904699743893575e-14,0.26635870772639186
Exponent.,Fixed Bins,0.08185714285714285,9.760399437779646e-06,0.11888725252910287
Exponent.,GMM,0.032612244897959185,0.28301342605253654,0.054954353566616196
Exponent.,Laplace,0.172,6.247166591665263e-24,0.35077716800614417
Exponent.,Decimal AR,0.04053061224489796,0.09862925814927505,0.051666972907268585
"Square +
Student-t",Fixed Bins,0.08163265306122448,1.0435992539642447e-05,0.08866980895807708
"Square +
Student-t",GMM,0.07504081632653062,6.860264958112511e-05,0.10131174828402562
"Square +
Student-t",Laplace,0.12551020408163266,6.465600012092164e-13,0.19133616775920553
"Square +
Student-t",Decimal AR,0.09802040816326531,4.853149939536018e-08,0.09353356646404869
"ARIMA
Residuals",Fixed Bins,0.104125,1.2075763430250394e-07,0.22988013324285045
"ARIMA
Residuals",GMM,0.115375,2.738554158491327e-09,0.2811460785445743
"ARIMA
Residuals",Laplace,0.1175625,1.2533115866161407e-09,0.17343714066526347
"ARIMA
Residuals",Decimal AR,0.1213125,3.170773406083786e-10,0.2335588153053816
Exponent.,Fixed Bins,0.07391836734693878,9.305148656262809e-05,0.0926370555925858
Exponent.,GMM,0.04881632653061224,0.025572062661163932,0.06479890474222497
Exponent.,Laplace,0.176,4.828227904658161e-25,0.33903430299392634
Exponent.,Decimal AR,0.04346938775510204,0.06287964636171128,0.06065782569940563
"Square +
Student-t",Fixed Bins,0.06828571428571428,0.0004007440568380045,0.0949016381558848
"Square +
Student-t",GMM,0.08726530612244898,1.8408854872913092e-06,0.10169282390971339
"Square +
Student-t",Laplace,0.13512244897959183,6.603937801740678e-15,0.1677798965586744
"Square +
Student-t",Decimal AR,0.06102040816326531,0.0022210799148801937,0.07924613099414776
"ARIMA
Residuals",Fixed Bins,0.13275,3.662317934057623e-12,0.264244617038481
"ARIMA
Residuals",GMM,0.123625,1.3293984990231277e-10,0.2830236298481695
"ARIMA
Residuals",Laplace,0.113625,5.063665029135935e-09,0.2089685313442169
"ARIMA
Residuals",Decimal AR,0.15325,4.458241380693158e-16,0.29730887649566745
Exponent.,Fixed Bins,0.051510204081632656,0.015623568866920018,0.07072713195352161
Exponent.,GMM,0.029612244897959182,0.39594811866425356,0.05397337212532826
Exponent.,Laplace,0.20004081632653062,2.8006638221401323e-32,0.3938236250173932
Exponent.,Decimal AR,0.055285714285714285,0.007491443908302375,0.06528925061889503
"Square +
Student-t",Fixed Bins,0.06583673469387755,0.0007292796325640001,0.09485477120549389
"Square +
Student-t",GMM,0.05736734693877551,0.004885661395916338,0.08817233140929714
"Square +
Student-t",Laplace,0.14308163265306123,1.144634101701089e-16,0.19801309972626202
"Square +
Student-t",Decimal AR,0.062040816326530614,0.0017666833043161626,0.0729239428821152
"ARIMA
Residuals",Fixed Bins,0.1409375,1.17087335134302e-13,0.29293031105539286
"ARIMA
Residuals",GMM,0.0959375,1.4862454400110666e-06,0.21461051938772172
"ARIMA
Residuals",Laplace,0.1043125,1.1373601776531107e-07,0.17412455236227925
"ARIMA
Residuals",Decimal AR,0.108125,3.286100408970293e-08,0.23245853746559816
Exponent.,Fixed Bins,0.0876734693877551,1.6160858226902833e-06,0.11370071865853724
Exponent.,GMM,0.04359183673469388,0.06166909554754494,0.0720306127995811
Exponent.,Laplace,0.172,6.247166591665263e-24,0.3170315412797424
Exponent.,Decimal AR,0.08148979591836734,1.0889018143307752e-05,0.09665231380781458
"Square +
Student-t",Fixed Bins,0.06508163265306123,0.0008732775768647366,0.09162042749199113
"Square +
Student-t",GMM,0.058653061224489794,0.003722518578413597,0.0948652228732994
"Square +
Student-t",Laplace,0.14540816326530612,3.3461512394773805e-17,0.2065428329718922
"Square +
Student-t",Decimal AR,0.0816530612244898,1.0372768606716138e-05,0.10039223884755571
"ARIMA
Residuals",Fixed Bins,0.141375,9.684149643211512e-14,0.3139288670510305
"ARIMA
Residuals",GMM,0.1219375,2.510989097578796e-10,0.2820388459868598
"ARIMA
Residuals",Laplace,0.13575,1.062647976336135e-12,0.18765556647227402
"ARIMA
Residuals",Decimal AR,0.0993125,5.414630907810449e-07,0.22788304570661622
Exponent.,Fixed Bins,0.08173469387755102,1.0123525747812064e-05,0.13340005984687384
Exponent.,GMM,0.0643265306122449,0.0010435356315709118,0.07153245357922948
Exponent.,Laplace,0.185,1.2193547392535326e-27,0.3735537666321133
Exponent.,Decimal AR,0.07948979591836734,1.95863686658268e-05,0.10581865582143941
"Square +
Student-t",Fixed Bins,0.05363265306122449,0.010401696782379294,0.07849251057870557
"Square +
Student-t",GMM,0.0656530612244898,0.0007621018365561038,0.10595419311641276
"Square +
Student-t",Laplace,0.15602040816326532,9.484677269696504e-20,0.19769808156481747
"Square +
Student-t",Decimal AR,0.07102040816326531,0.00020011020405699082,0.09879875383613874
"ARIMA
Residuals",Fixed Bins,0.1351875,1.3429846942192775e-12,0.29937637171208714
"ARIMA
Residuals",GMM,0.116375,1.9192697678699013e-09,0.23362850400770643
"ARIMA
Residuals",Laplace,0.15275,5.64177505809299e-16,0.28860215318438154
"ARIMA
Residuals",Decimal AR,0.100625,3.621751311319923e-07,0.18646972331672468
Exponent.,Fixed Bins,0.06459183673469387,0.0009804634945745285,0.08525554274517382
Exponent.,GMM,0.05516326530612245,0.007678425552406892,0.09514619852091499
Exponent.,Laplace,0.196,5.373189949963919e-31,0.3693225199250981
Exponent.,Decimal AR,0.052489795918367346,0.012975455772434433,0.0538799105247039
"Square +
Student-t",Fixed Bins,0.06983673469387755,0.0002711857606338092,0.08094892889442676
"Square +
Student-t",GMM,0.06379591836734694,0.0011812029515408655,0.1094472343955335
"Square +
Student-t",Laplace,0.13359183673469388,1.4020633907142198e-14,0.17995694603654136
"Square +
Student-t",Decimal AR,0.0620204081632653,0.001774855377486583,0.08620048301726382
"ARIMA
Residuals",Fixed Bins,0.1493125,2.7874927986206776e-15,0.28487423210027907
"ARIMA
Residuals",GMM,0.1125625,7.320360765086983e-09,0.2769122476993122
"ARIMA
Residuals",Laplace,0.1344375,1.8322388395314417e-12,0.17727339852319735
"ARIMA
Residuals",Decimal AR,0.089625,8.941868580657208e-06,0.16302986792149254
Exponent.,Fixed Bins,0.09542857142857143,1.211699267366023e-07,0.16099631782356943
Exponent.,GMM,0.08455102040816327,4.309496266422037e-06,0.08610995026111629
Exponent.,Laplace,0.161,5.231623525997223e-21,0.2789477180049942
Exponent.,Decimal AR,0.07069387755102041,0.00021772297947686114,0.0704307897615258
"Square +
Student-t",Fixed Bins,0.05353061224489796,0.010611120423799091,0.07623413119145309
"Square +
Student-t",GMM,0.04620408163265306,0.04020786230806867,0.0801558440186978
"Square +
Student-t",Laplace,0.13895918367346938,9.62963693792949e-16,0.19919398552190964
"Square +
Student-t",Decimal AR,0.09291836734693877,2.871077564914313e-07,0.09136752800867863
"ARIMA
Residuals",Fixed Bins,0.1278125,2.6408240156190134e-11,0.2847878668726648
"ARIMA
Residuals",GMM,0.127125,3.4562048942250516e-11,0.22606757338055442
"ARIMA
Residuals",Laplace,0.1375625,4.964114270113137e-13,0.21164611252704058
"ARIMA
Residuals",Decimal AR,0.1134375,5.405330583486056e-09,0.21870248119481348
Exponent.,Fixed Bins,0.08012244897959184,1.6292537715466872e-05,0.1237965373592163
